Country,Sector,Share (%)
Brazil,Industry NonCoal,25.6
Brazil,Remaining Sources,20.8
Brazil,Other Open Fire,10.7
Brazil,AFCID Dust,7.7
Brazil,Road Transport,6.3
Brazil,Windblown Dust,4.9
Brazil,Energy NonCoal,4.6
Brazil,Residential Biofuel Combustion,4.2
Brazil,Agriculture,4.2
Brazil,Other Combustion,2.6
Brazil,Waste,2.6
Brazil,International Shipping,2.0
Brazil,Industry Coal,1.8
Brazil,Energy Coal,1.0
Brazil,Agricultural Waste Burning,0.6
Brazil,NonRoad Transport,0.2
Brazil,Residential Other Combustion,0.1
Brazil,Commercial Combustion,0.1
Brazil,Solvent,0.0
Brazil,Residential Coal Combustion,0.0
