Country,Sector,Share (%)
India,Residential Biofuel Combustion,22.5
India,AFCID Dust,11.5
India,Agriculture,9.4
India,Industry Coal,8.2
India,Energy Coal,7.0
India,Industry NonCoal,6.6
India,Road Transport,5.7
India,Energy NonCoal,5.5
India,Waste,4.2
India,Remaining Sources,3.8
India,Windblown Dust,3.4
India,Other Combustion,3.1
India,Commercial Combustion,2.0
India,Residential Other Combustion,1.8
India,Residential Coal Combustion,1.4
India,Agricultural Waste Burning,1.0
India,Other Open Fire,1.0
India,NonRoad Transport,1.0
India,International Shipping,0.7
India,Solvent,0.4
