Country,Sector,Share (%)
Mexico,Residential Biofuel Combustion,14.6
Mexico,Energy NonCoal,12.4
Mexico,Road Transport,12.3
Mexico,Remaining Sources,11.8
Mexico,Other Open Fire,9.1
Mexico,Agriculture,8.5
Mexico,Industry NonCoal,8.1
Mexico,Waste,5.3
Mexico,AFCID Dust,4.3
Mexico,Energy Coal,3.6
Mexico,Windblown Dust,2.7
Mexico,Other Combustion,2.0
Mexico,Agricultural Waste Burning,1.7
Mexico,Industry Coal,1.6
Mexico,International Shipping,1.3
Mexico,NonRoad Transport,0.5
Mexico,Commercial Combustion,0.3
Mexico,Residential Other Combustion,0.2
Mexico,Residential Coal Combustion,0.0
Mexico,Solvent,0.0
