Country,Sector,Share (%)
United States,Remaining Sources,12.1
United States,Road Transport,12.1
United States,Other Open Fire,11.6
United States,Agriculture,10.0
United States,Industry NonCoal,9.0
United States,Energy Coal,7.0
United States,Residential Biofuel Combustion,6.8
United States,Other Combustion,5.9
United States,Energy NonCoal,4.9
United States,NonRoad Transport,3.3
United States,Waste,3.1
United States,AFCID Dust,2.7
United States,Windblown Dust,2.4
United States,Commercial Combustion,2.4
United States,Industry Coal,2.1
United States,Residential Other Combustion,1.5
United States,International Shipping,1.4
United States,Agricultural Waste Burning,1.3
United States,Residential Coal Combustion,0.2
United States,Solvent,0.1
