Countries,Years,CarSold
China,2019,21474759 
China,2020,19290137 
China,2021,21482374 
China,2022,23563247 
China,2023,30094767 
China,2024,"31,436,245"
USA,2019,17045897 
USA,2020,14599190 
USA,2021,14947180 
USA,2022,13689240 
USA,2023,15604278 
USA,2024,"15,928,641"
Mexico,2019,1317785 
Mexico,2020,949203 
Mexico,2021,1014723 
Mexico,2022,1089736 
Mexico,2023,1363774 
Mexico,2024,"1,496,797"
Brazil,2019,2651713 
Brazil,2020,1954871 
Brazil,2021,1974538 
Brazil,2022,1957834 
Brazil,2023,2309243 
Brazil,2024,"2,634,904"
India,2019,2936983 
India,2020,2472820 
India,2021,3082974 
India,2022,3780870 
India,2023,4108263 
India,2024,"4,274,825"
