Country Name;2019;2020;2021;2022;2023;2024
World;4318397799;4394866872;4464383796;4538781827;4617058071;4697122232
China;848982855;866810508;882894483;897578430;910895447;923498574
India;478826529;489878256;500529185;511327815;522939628;534916498
United States;272301245;274095406;275221034;277514951;280552854;284043692
Brazil;180121128;181687255;182973030;184133782;185356223;186592664
Indonesia;152553180;155657888;158554689;161537679;164698646;167836195
Nigeria;107166569;111188136;115265457;119432591;123701699;128043517
Japan;116119928;115884871;115459909;115058684;114608860;114223468
Russian Federation;108489246;108576558;108464539;108359438;108345662;108436954
Mexico;101168773;102366144;103415424;104562464;105844290;107125438
Pakistan;85181688;87338399;89660489;91950699;94150710;96399415
